,id,price,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,host_response_time,host_since,cancellation_policy,neighbourhood_cleansed,air_con,check_in,cooking,childcare,entertainment,luxury,nature,clothing,accessibility,safety,internet,comfort,essentials,pet_friendly,smoking
6461,39038153,259.0,Singapore,103.88651,1.31293,,0,3,200.0,35.0,6,2.0,3.0,0.0,apartment,Entire home/apt,328,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6462,39038394,215.0,Singapore,103.8777,1.31043,,0,3,250.0,35.0,6,2.0,2.0,0.0,apartment,Entire home/apt,358,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6463,39038397,215.0,Singapore,103.87789000000001,1.31175,,0,3,250.0,35.0,5,2.0,2.0,2.0,apartment,Entire home/apt,326,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6464,39038399,215.0,Singapore,103.87607,1.31023,,0,3,250.0,35.0,5,2.0,2.0,2.0,apartment,Entire home/apt,298,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6465,39039132,259.0,Singapore,103.88704,1.31281,,0,3,250.0,35.0,7,1.0,3.0,0.0,apartment,Entire home/apt,328,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6466,39039180,259.0,Singapore,103.88707,1.3111899999999999,,0,3,250.0,35.0,6,1.0,3.0,0.0,apartment,Entire home/apt,320,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6467,39039836,259.0,Singapore,103.8769,1.31254,,1,3,250.0,35.0,7,2.0,3.0,0.0,apartment,Entire home/apt,315,0,0,2.0,2018-11-13,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6468,39040457,258.0,Singapore,103.88534,1.31125,80.0,1,3,200.0,35.0,6,2.0,3.0,,apartment,Entire home/apt,0,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6469,39040930,259.0,Singapore,103.8857,1.31287,,0,3,200.0,35.0,6,2.0,3.0,,apartment,Entire home/apt,353,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6470,39041126,180.0,Singapore,103.88551,1.31323,100.0,1,3,200.0,35.0,5,1.0,2.0,0.0,apartment,Entire home/apt,349,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6471,39041264,187.0,Singapore,103.88685,1.31349,,0,3,200.0,35.0,5,1.0,2.0,,apartment,Entire home/apt,336,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6472,39041351,400.0,Singapore,103.88728,1.31213,,0,3,200.0,35.0,9,3.0,4.0,0.0,apartment,Entire home/apt,341,0,0,4.0,2015-04-18,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6473,39041958,180.0,Singapore,103.86359,1.32925,100.0,1,10,250.0,35.0,5,2.0,2.0,2.0,apartment,Entire home/apt,365,0,0,4.0,2018-08-16,2,Kallang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6474,39042111,176.0,Singapore,103.86569,1.32849,100.0,1,14,250.0,35.0,4,1.0,2.0,2.0,apartment,Entire home/apt,365,0,0,4.0,2018-08-16,2,Kallang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6475,39050975,54.0,Singapore,103.7975,1.44608,,0,1,150.0,30.0,2,1.0,1.0,2.0,apartment,Private room,90,1,0,1.0,2019-05-26,2,Woodlands,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
6476,39062013,87.0,Singapore,103.86062,1.3159100000000001,90.0,2,2,0.0,0.0,2,1.0,1.0,1.0,apartment,Private room,362,0,0,1.0,2019-10-01,2,Kallang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6477,39063539,155.0,Singapore,103.84397,1.27589,,0,5,0.0,0.0,2,1.0,1.0,1.0,apartment,Entire home/apt,3,0,1,4.0,2016-04-09,2,Outram,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6478,39064049,85.0,Singapore,103.90235,1.3032299999999999,87.0,15,1,0.0,20.0,2,2.0,1.0,1.0,apartment,Private room,331,0,0,4.0,2015-06-12,3,Marine Parade,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6479,39068045,230.0,Singapore,103.87997,1.31145,100.0,1,7,200.0,35.0,6,2.0,3.0,3.0,apartment,Entire home/apt,0,0,0,4.0,2015-04-18,2,Geylang,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6480,39078581,180.0,Singapore,103.83776999999999,1.29593,100.0,1,2,150.0,0.0,4,1.0,0.0,2.0,apartment,Entire home/apt,0,1,0,4.0,2017-01-01,2,River Valley,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6481,39090802,29.0,Singapore,103.88009,1.3322399999999999,,0,1,0.0,25.0,2,2.0,1.0,2.0,house,Shared room,0,0,0,0.0,2019-10-02,3,Toa Payoh,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6482,39091992,285.0,Singapore,103.84666,1.28316,,0,2,200.0,50.0,6,2.0,2.0,2.0,apartment,Entire home/apt,76,1,0,4.0,2019-07-26,2,Outram,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6483,39095087,87.0,Singapore,103.86209000000001,1.3175,,0,2,0.0,0.0,2,1.0,1.0,1.0,apartment,Private room,365,0,0,1.0,2019-10-01,2,Kallang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6484,39103736,238.0,Singapore,103.86013,1.3004,,0,2,0.0,80.0,4,1.0,1.0,3.0,apartment,Entire home/apt,338,1,1,4.0,2015-11-17,2,Rochor,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6485,39104189,49.0,Singapore,103.80051,1.3051,100.0,1,4,0.0,0.0,1,1.0,1.0,0.0,apartment,Private room,354,1,0,4.0,2011-10-12,3,Queenstown,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
6486,39108341,160.0,Singapore,103.84711,1.28935,,0,1,0.0,0.0,3,1.0,1.0,1.0,hotel,Private room,269,0,0,4.0,2017-11-14,2,Singapore River,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6487,39112277,259.0,Singapore,103.90214,1.30511,94.0,7,28,1000.0,100.0,6,2.0,4.0,4.0,apartment,Entire home/apt,181,0,0,4.0,2015-07-22,2,Marine Parade,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
6488,39114487,68.0,Singapore,103.84253000000001,1.2841,,0,90,0.0,20.0,1,1.0,1.0,1.0,apartment,Private room,293,0,0,4.0,2018-07-12,2,Outram,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
